"Product Name"|SKU|Category|"Category ID"|Price|"Product URL"|Manufacturer|"Manufacturer SKU"|Description|Image|"In Stock"|"Delivery Cost"|"Delivery Time"|"EAN or UPC"|"Retailer Message"|pc_isbn_prod
"Wharfedale Diamond 230"|diamond230black|"Høyttaler / Gulvhøyttalere"|11|5999.0000|https://hifi-freaks.no/wharfedale-diamond-230.html|Wharfedale||"Elegant og lydmessig imponerende  Den 2&frac12;-veis gulvh&oslash;yttaleren Diamond 230 er like imponerende som sin lillebror 220, men har et enda st&oslash;rre lydbilde og en bass som er b&aring;de dypere og mer detaljrik. Dette kommer selvsagt av at ..."|https://hifi-freaks.no/media/catalog/product/d/i/diamond230test.jpg|Ja|||||
"Wharfedale Diamond 240"|diamond-240|"Høyttaler / Gulvhøyttalere"|11|9999.0000|https://hifi-freaks.no/wharfedale-diamond-240.html|Wharfedale||"Stor golvh&ouml;gtalare med massor av dynamik
Med 3-v&auml;gs principen h&aring;lls &ouml;verblicken och klarheten i musiken intakt &auml;ven n&auml;r du spelar komplex musik vid h&ouml;g ljudstyrka. Orsaken &auml;r helt enkelt att n&auml;r det 13 cm ..."|https://hifi-freaks.no/media/catalog/product/d/i/diamond240top.jpg|Ja|||||
"Wharfedale Diamond 250"|"Diamond 250"|"Høyttaler / Gulvhøyttalere"|11|13418.0000|https://hifi-freaks.no/wharfedale-diamond-250.html|Wharfedale||"Enorm ljudbild - &auml;ven i stora rum!
Med 2 st. 8 ""Kevlar baselement och basreflex-tuning som g&aring;r &auml;nda ner till 32Hz, f&aring;r du hela tonomf&aring;nget med. B&aring;de orgelmusik och storslagen techno och rock &aring;terges med kraft oc..."|https://hifi-freaks.no/media/catalog/product/d/i/diamond250top.jpg|Ja|||||
"Wharfedale Reva 3"|"Reva 3"|"Høyttaler / Gulvhøyttalere"|11|13999.0000|https://hifi-freaks.no/wharfedale-reva-3.html|Wharfedale||"Reva-3 &auml;r den mindre av de tv&aring; golvh&ouml;gtalarna i serien som kan anv&auml;ndas i audiofila stereosystem eller ocks&aring; som en del av ett st&ouml;rre surroundsystem. Dess slot laddande portteknik inneb&auml;r att de kan prestera bra &au..."|https://hifi-freaks.no/media/catalog/product/r/e/reva3.jpg|Ja|||||
"Wharfedale Reva 1"|"Reva 1"|"Høyttaler / Kompakte høyttalere"|10|4299.0000|https://hifi-freaks.no/wharfedale-reva-1.html|Wharfedale||"Reva 1 &auml;r den minsta modellen i Warfades nya Reva-serie. En kompakt modell som g&ouml;r det v&auml;ldigt bra b&aring;de som front i stereoinst&auml;llningar och i surroundupps&auml;ttning.
&nbsp;
Reve-serien &auml;r helt nykonstruerad, f&ouml;r ..."|https://hifi-freaks.no/media/catalog/product/r/e/reva1.jpg|Ja|||||
"Wharfedale Diamond 225"|"Diamond 225"|"Høyttaler / Kompakte høyttalere"|10|1999.0000|https://hifi-freaks.no/wharfedale-diamond-225.html|Wharfedale||"Storebrodern till Diamond 220, med samma egenskaper som en Diamond 220, men med en 6,5 tums basenhet i st&auml;llet f&ouml;r 5-tums enheten i 220, s&aring; att du f&aring;r b&auml;ttre bas&aring;tergivning.
&nbsp;
I mer &auml;n 30 &aring;r har Wharfd..."|https://hifi-freaks.no/media/catalog/product/w/h/wharfedale-diamond-225-gallery.jpg|Ja|||||
"Wharfedale Reva 2"|"Reva 2"|"Høyttaler / Kompakte høyttalere"|10|3999.0000|https://hifi-freaks.no/wharfedale-reva-2.html|Wharfedale||"Reva-2 er den st&oslash;rre h&oslash;yttaleren for bokhyller i Reva-serien. Ettersom den er noe st&oslash;rre enn Reva-1, h&aring;ndterer den litt mer bass og er ideell for stereoaudiofile installasjoner. Den passer ogs&aring; like bra for surroundanle..."|https://hifi-freaks.no/media/catalog/product/r/e/reva2.jpg|Ja|||||
"Wharfedale Diamond 210"|"diamond 210"|"Høyttaler / Kompakte høyttalere"|10|1699.0000|https://hifi-freaks.no/wharfedale-diamond-210.html|Wharfedale||"Wharfedale Diamond 210 &auml;r en kompakt stativh&ouml;gtalare som &auml;r utformad f&ouml;r att leverera h&ouml;gkvalitativ ljudprestanda bakom eller i surroundhemmabiosystem och tv&aring;kanals stereoinstallation n&auml;r utrymme &auml;r begr&auml;ns..."|https://hifi-freaks.no/media/catalog/product/d/i/diamond210.jpg|Ja|||||
"Wharfedale Jade 5"|"Jade 5"|"Høyttaler / Gulvhøyttalere"|11|14999.0000|https://hifi-freaks.no/wharfedale-jade-5.html|Wharfedale||"&nbsp;
Den nya stereoh&ouml;gtalarna Wharfedale Jade 5 en audiophile kvalitetsgolvst&aring;ende 3-v&auml;gs Aperiodic-h&ouml;gtalare som idealiskt anv&auml;nds i stereohifi-system eller kan kombineras med andra modeller i Jade intervall f&ouml;r att s..."|https://hifi-freaks.no/media/catalog/product/j/a/jade5.jpg|Ja|||||
"Wharfedale Jade 7"|"jade 7"|"Høyttaler / Gulvhøyttalere"|11|19999.0000|https://hifi-freaks.no/wharfedale-jade-7.html|Wharfedale||"Den nya Wharfedale Jade 7-stereoh&ouml;gtalarna &auml;r en 4-v&auml;gs Aperiodic-h&ouml;gtalare som idealiskt anv&auml;nds i stereohifi-system eller kan kombineras med andra modeller i Jade intervall f&ouml;r att skapa en h&ouml;gpresterande hemmabio-h..."|https://hifi-freaks.no/media/catalog/product/j/a/jade7.jpg|Ja|||||
"Wharfedale Airedale Heritage Classic"|airedale-classic|"Høyttaler / Gulvhøyttalere"|11|229999.0000|https://hifi-freaks.no/wharfedale-airedale-heritage-classic.html|Wharfedale||"Airedale arv beh&ouml;ll en stor del av den ursprungliga designfilosofin och f&ouml;ljer trov&auml;rdigt den sexkantiga formen av originalet och den upp&aring;triktade diskanten. Airedale Heritage s&auml;kerst&auml;llde en h&ouml;gtalare som aldrig kom..."|https://hifi-freaks.no/media/catalog/product/a/i/airedaleclassic.jpg|Ja|||||
"Mission MX3"|"Mission MX-3"|"Høyttaler / Gulvhøyttalere"|11|3699.0000|https://hifi-freaks.no/mission-mx3.html|Mission||"Mission MX-3 er en elegant gulvh&oslash;yttaler i et slankt skall som lett vil passe inn i vanlig innredning uten at den skjemmer ut resten av innredningen. Den gir en fyldig og presis lyd som gj&oslash;r musikken levende p&aring; en sv&aelig;rt forn&o..."|https://hifi-freaks.no/media/catalog/product/t/o/top_missionmx3.jpg|Ja|||||
"Mission LX-3"|mission-lx-3|"Høyttaler / Gulvhøyttalere"|11|4499.0000|https://hifi-freaks.no/mission-lx-3.html|Mission||"LX-3 &auml;r en mycket diskret men &auml;nd&aring; mycket kraftfull golvh&ouml;gtalare som l&auml;tt kan spela upp ett mindre vardagsrum p&aring; ett &ouml;vertygande s&auml;tt.
&nbsp;
LX-3 &auml;r en tv&aring;-v&auml;gs h&ouml;gtalare som kombinerar..."|https://hifi-freaks.no/media/catalog/product/l/x/lx3.jpg|Ja|||||
"Audiolab 6000A-Svart"|Audiolab6000A-Svart|||6399.0000|https://hifi-freaks.no/audiolab-6000a-svart.html|Audiolab||"Audiolab 6000A"||Ja|||||
"Audiolab 8300A"|8300a-black|"Stereo / Forsterkere"|5|7799.0000|https://hifi-freaks.no/8300a.html|Audiolab||"Audiolab 8300A er en elegant og flott konstruert, integrert forsterker som leverer 2 x 70 watt i ohm.
Fem linjeinnganger, en phono-inngang, en balansert XLR-inngang og en direkte inngang for &aring; kunne bruke 8300A som en effektforsterker gir deg en..."|https://hifi-freaks.no/media/catalog/product/8/3/8300a-front_1.jpg|Ja|||||
"Audiolab 8300MB"|8300mb-black|"Stereo / Forsterkere"|5|6799.0000|https://hifi-freaks.no/audiolab-8300mb.html|Audiolab||"8300MB er en ren kraftpakke i en liten st&oslash;rrelse. 8300MB leverer 250 watt i ohm med en ren, balansert forsterkning. 8300MB har store reserver og driver selv de kraftigste h&oslash;yttalerne overlegent! 8300MB er fullstendig balansert, noe som gj..."|https://hifi-freaks.no/media/catalog/product/3/5/35358_3_.jpg|Ja|||||
"Audiolab M-ONE"|audiolab-mone|"Stereo / Forsterkere"|5|4999.0000|https://hifi-freaks.no/audiolab-mone.html|Audiolab||"Audiolab M-ONE er en kompakt integrert forsterker og det nyeste medlemmet i M-DAC-familien. Samtidig som vi utnytter v&aring;r anerkjente DAC- og forsterkningsteknologi i &eacute;n bitte liten boks, sikrer en rekke analoge og digitale tilkoblinger, apt..."|https://hifi-freaks.no/media/catalog/product/m/-/m-one_20160718143953_576.jpg|Ja|||||
"QUAD Elite QMP"|QUAD-elite-QMP|"Stereo / Forsterkere"|5|9999.0000|https://hifi-freaks.no/quad-elite-qmp.html|Quad||"Elite QMP &auml;r en biprodukt av den tidigare 909 Mono med f&ouml;rb&auml;ttringar som &auml;r tydligt m&auml;rkbara i f&ouml;rst&auml;rkarkonstruktion och kretsar, och kan &auml;ven producera en precist balanserad XLR. Den nya Elite QMP inneh&aring;l..."|https://hifi-freaks.no/media/catalog/product/e/l/elite-qmp_20150331114735_58.jpg|Ja|||||
"QUAD Elite QSP"|quad-elite-qsp|"Stereo / Forsterkere"|5|10999.0000|https://hifi-freaks.no/quad-elite-qsp.html|Quad||"Elite QSP vidareutvecklar Quads klassiska Current Cumping-formel genom att utnyttja moderna audiophile-principer fullt ut. Omfattande forskning i screeningstekniker s&auml; kerst&auml;ller optimal kontroll &ouml;ver crosstalk och magnetf&auml;ltens fl&..."|https://hifi-freaks.no/media/catalog/product/e/l/elite-qsp_20150331113932_55.jpg|Ja|||||
"QUAD Elite Pre"|quad-elite-pre|"Stereo / Forsterkere"|5|8399.0000|https://hifi-freaks.no/quad-elite-pre.html|Quad||"Genom noggrant komponentval och omjustering av signalv&auml;gen har Elite Pre ytterligare f&ouml;rb&auml;ttrat den musikaliska transparens som levererades av sin f&ouml;reg&aring;ngare i 99-serien. Tillsammans med uppdateringarna har Quad fortfarande b..."|https://hifi-freaks.no/media/catalog/product/e/l/elite-pre_20150331113244_51.jpg|Ja|||||
"QUAD Artera Play"|quad-artera-play|"Stereo / Forsterkere"|5|8999.0000|https://hifi-freaks.no/quad-artera-play.html|Quad||"Quad ga sitt team av designere og ingeni&oslash;rer en spesifikk oppgave med Artera: Kombiner de egenskapene som har gjort Quad til en av Storbritannias mest beundrede hi-fi-spillere i mange ti&aring;r med en frisk industriell design og de nyeste tekni..."|https://hifi-freaks.no/media/catalog/product/a/r/artera-play_20150401154407_172.jpg|Ja|||||
"QUAD Artera Stereo"|quad-artera-stereo|"Stereo / Forsterkere"|5|9899.0000|https://hifi-freaks.no/quad-artera-stereo.html|Quad||"QUAD Artera Stereo
Hver del i Artera Stereo er blitt bygd fra grunnen av for &aring; sikre kontroll, musikalitet og stabilitet, fra effektkilden til inngangsklemmene. Artera Stereo gir 2 x 140 watt per kanal i 8 ohm. Det er nok kraft for &aring; kunne..."|https://hifi-freaks.no/media/catalog/product/a/r/artera-stereo_20150401153846_170.jpg|Ja|||||
